id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
b9aac52e-05c8-4feb-9869-ab57c9704bdd,A 16 year old boy does not attend school because of the fear of being harmed by school mates. He thinks that his classmates laugh at him and talk about him. He is even scared of going out of the market. He is most likely suffering from:,Anxiety disorder,Manic depressive psychosis (bipolar disorder),Adjustment reaction,Schizophrenia,3,single,"The history is suggestive of delusion of persecution (fear that schoolmates may ""harm"" him) and delusion of reference (belief that classmates laugh at him and talk about him). Had they not used the term ""harm"" and ""scared"" a diagnosis of social anxiety disorder could have been enteained.",Psychiatry,Schizophrenia Spectrum and Other Psychotic Disorders
abd192eb-0adf-49cf-ac78-e01855cfbce7,Bad trip is seen with which of the following drugs?,Cannabis,LSD,None,Both,1,multi,LSD is a type of hallicinogen LSD means lysergic acid diethylamide LSD was introduced and first used by ALBE HOFFMANNBad trip is seen with LSD and cannabis but common with LSD Ref: Essentials of postgraduate psychiatry By JN Vyas 1st ed Pg 330-336,Psychiatry,Substance abuse
b6be509b-8060-4678-80d8-605dccfc56a5,Bedside test for mental status-,MMSE,GCS,MMPI,WAIS,0,single,"Ans. is 'a' i.e., MMSE o The most w idely used test for bedside evaluation of the mental status is folstein's mini mental state examination (MMSE).",Psychiatry,Organic Mental Disorder
10f7eb85-ebda-4224-bb87-18914bc64576,LSD was introducd by,albe hoffman,delay and deniker,John F Cade,Egaz Moniz,0,single,"Hallucinogens * ALSO CALLED AS Psychotomimetic/ Psychedelic * FIRST Man made HALLICINOGEN ==================== Albe Hoffman * MECHANISM OF ACTION Lysergic acid diethylamide=======serotonin * Introduced by Albe Hoffmann and he himself experienced its effects * Phencyclidine =======NMDA antagonist * Also known as angel dust * Related to ketamine=== dissociative anesthetic * Has anti-suicidal propey Ref.Kaplon and Sadock, synopsis of psychiatry, 11 th edition, pg no.649",Psychiatry,Substance abuse
1f10b85e-0f5b-4265-97c2-c4c1b8b13252,Folie a deux is,OCD,Shared delusion disorder,Hysteria,Neurasthenia,1,single,"Shared psychotic disorder or folie a deux, the characteristic feature is the transmission of delusions from ""inducer"" (primary patient), who is the ""originally"" ill patient and suffers from a psychotic disorder to another person who may share the inducer's delusions in entirety or in pa. the person who receives the delusion is usually financially dependent on the inducer person the person who receives the delusion is intellectually less normal and tend to beleive everything that the inducer person tells. both the person who induces and receives the delusion live in close proximity they live in social isolation with less contact with the outside world as they remain together delusion system perpetutes. treament of choice for such patients is seperation of the receiver of delusion from the inducer and the symptom of delusion reduces. Depending on whether the delusions are shared among two, three, four, five and even twelve people, it is called as folie a deux, folie a trios, folie a quatre, folie a cinq and folie a douze. Shared psychotic disorder is mostly observed among people who live in close proximity and in close relationships. Reference: Kaplon and sadock, 11 th edition, synopsis of psychiatry, 11 th edition, pg no. 390",Psychiatry,Personality disorders
b74d5aca-2c9f-42ed-8184-98c465b7ac61,Wernicke&;s encephalopathy involves,Mammillary body,Thalamus,Frontal lobe,Arcuate fasciculus,0,single,"Wernicke's encephalopathy : The neuropathological lesions are symmetrical and paraventricular, involving the mammillary bodies, the thalamus, the hypothalamus, the midbrain, the pons, the medulla, the fornix, and the cerebellum. Ref: Synopsis of Psychiatry, 11th edition, page 632.",Psychiatry,Substance abuse
e0c2cf58-aa5c-4516-b250-79b76d99a2cc,Drug of choice for OCD is?,Clomipramine,Fluoxetine,Carbamezapine,Chlorpromazine,1,single,ANSWER: (B) FluoxetineREF: Kaplan 9th ed p - 622OCDTreatment of choice: behaviour therapyDrug of choice: SSRI2nd drug of choice: comipramine,Psychiatry,Neurotic Disorders
aaa09f14-d097-401e-a543-a9a9e4fa9a7d,A patient was diagnosed with schizophrenia and was staed on haloperidol 5mg. On 3rd day he presented with uprolling of eyes. A complete neurological examination revealed no spasticity or any other abnormalities except uprolling of eyeballs. Visual acuity was found to be normal. What is your likely diagnosis?,Seizure,Acute dystonia,Malingering,Akathesia,1,multi,"* <48 hours of staing antipsychotics * M.C in======Younger black males * If a patient develops dystonia he is more prone for eps Patient considers this as an Allergic reaction , thereby may stop drugs Layryngeal dystonia is a Psychiatric emergency, should be treated with IV lorazepam TREATMENT * Diphenhydramine * Benztropine mesylate * Prophylactic anticholinergics helps Ref.Kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no. 923",Psychiatry,Pharmacotherapy in psychiatry
c26ff4e0-825a-4916-9b06-405ba81be1fa,NREM sleep is associated with:-,Basal forebrain area,Dorsal raphe nucleus,Medulla,All of the above,3,multi,"NREM sleep generation is associated with 5 anatomical sites: * Basal forebrain area Thalamus Hypothalamus Dorsal raphe nucleus Nucleus tractus solitaries of the medulla Preoptic lesions produce hyposomnia, whereas electrical and thermal stimulation of this area produces sleep changes. Thalamus (especially reticular formation) plays an active role in production of coical sleep spindles and delta waves.",Psychiatry,Sleep Disorders
4a753b66-6b14-49a4-882c-783401dc67ea,Which of the following excludes painful stimuli from awareness?,Repression,Reaction formation,Projection,Rationalization,0,single,Repression is the defense mechanism which removes painful memories or unacceptable desires away from the consciousness or awareness.,Psychiatry,Psychoanalysis
5000f2e2-5e62-4d9e-9020-c40a5218f4b5,Risk factor for suicide -,Female sex,Unmarried,Age 30 years,Married,1,single,"Ans. is 'b' i.e., Unmarried Causes/Risk factors for suicidePsychiatric disorders : - Depression (most common), alcoholism (2nd me), Drug/Substance dependence, Schizophrenia, Dementia.Physical illness : - Cancer, AIDS, Multiple sclerosis, Head trauma.Psychosocial factors : - Failure in love, marital difficulties, family dispute, illegitimate pregnancy.Biological factors : - Decrease in serotoninOther - Male sex, Age > 40 years. Single (Unmarried, divorced or widowed), previous suicide attempt, social isolation.",Psychiatry,Symptoms & Signs 
fefcb9e2-a8ab-4878-aad6-5db6969d0826,False statement regarding myocardial infarction and depression is:,Depression is a risk factor for MI,MI is a risk factor for depression,SSRI's can be used post MI for treatment of depression,Only cognitive behavioral therapy is used after MI,3,multi,The first three options are correct. Depression and myocardial infarction are risk factors for each other. The treatment of depression after MI involves both medications and CBT.,Psychiatry,Mood Disorders
c2c522e9-595e-4327-a763-7eb93c7fcb88,"A 68-year-old male is brought to the outpatient by his wife due to increasing forgetfulness. On taking history in details, wife repoed that for around 6 months patient is having trouble in organising the finances and paying bills, something he has done all his life. He has also become withdrawn and has decreased meeting people. The patient also behaved inappropriately with a female neighbour couple of says back, which is much against his usual nature. The patient denies having any problems and seems indifferent to his wife's concern. He has a medical history of hypeension and type 2 diabetes mellitus There is a family history of Alzheimer disease. On MMSE, score came out to be 23. Which of the following is the most likely diagnosis?",Alzheimer disease,Creutzfeldt-Jakob disease,Dementia with Lewy bodies,Frontotemporal dementia,3,multi,"The history is suggestive of executive dysfunction (trouble in organising the finances and paying bills), apathy and disinhibition (decreased socialisation and inappropriate behaviour with women), lack of insight (denies having any problem) and memory disturbances. This is suggestive of frontotemporal dementia, in which personality changes are prominent, memory disturbances appear later in frontotemporal dementia. In contrast, in alzheimers disease memory disturbances are prominent early in the disorder and personality changes later. Creutzfeldt-Jakob disease which is caused by a prion manifests with rapidly progressive dementia, myoclonus, and cerebellar dysfunction.",Psychiatry,Organic Mental Disorders
d22a7f07-c598-452c-b01f-e93347e08a46,Which of the following has to be present for diagnosis of major depressive disorder,Loss of interest or pleasure,Recurrent suicidal tendency,Insomnia,Indecisiveness,0,single,"In typical depressive episodes of all three varieties described below (mild, moderate, and severe), the individual usually suffers from depressed mood, loss of interest and enjoyment, and reduced energy leading to increased fatigability and diminished activity. Reference: International classification of diseases 10, page 119.",Psychiatry,Mood disorders
0400871c-d648-45f2-9b71-9d7bf7d65a88,SSRIs should be carefully used in the young for the management of depression due to increase in:,Nihilism ideation,Guilt ideation,Suicidal ideation,Envious ideation,2,single,The use of SSRIs can increase suicidal ideations. This side effect is more common in children and adolescents and hence these medications should be used cautiously in that age group.,Psychiatry,Mood Disorders
74fc2f1d-6b36-435d-a477-59f4377e89ff,Treatment of choice for generalized anxiety disorder is?,Benzodiazepines,Neuroleptics,Beta blockers,Barbiturates,0,single,"Ans is 'a' i.e. Benzodiazepines Treatment of generalized anxiety disorderA Benzodiazepines are the drug of choice. Drugs in this group are diazepam, Lorazepam, Alprazolam, Oxazepam, chlordiazepoxide.B. Other drugs used are buspirone; TCA (amptriptyline, imipramine, clomipramine, desipramine); SSRIs (Fluoxetine, Sertaline, Paroxetine, Citalopram); SNRIs (Venalafaxine), p-blockers.C. Anticonvulsants with GABAergic properties may also be effective against anxiety, e.g., Gabapentin, Oxcarbazepine, Tiagabine, pregabalin, and Valproate (divalporex).",Psychiatry,Anxiety & Stress
09472bfe-55ad-4146-80a2-7c6ff73f88da,"A patient of Schizophrenia was staed on neuroleptics, his psychotic symptoms began to improve however he developed sadness, would talks less to others, would mostly remain to bed. This presentation could be caused by all of following except:",Parkinsonism,Major depression,Negative symptoms are still persisting,He is reacting to external stimuli,3,multi,"This question is basically asking for the differential diagnosis of symptoms of ' sadness of mood, talking less and staying on the bed"" in a patient of schizophrenia who has been staed on antipsychotics. 1. The sadness of mood and decreased interaction can be of course due to depression 2. Negative symptoms of schizophrenia have a similar presentation where avolition can result in 'staying on the bed' and asociality and alogia may result in decrease interaction 3. Fuher, the use of antipsychotics can cause drug-induced parkinsonism which again looks quite similar to negative symptoms. The fouh option 'responding to external stimuli' doesn't explain the symptoms and hence is the answer",Psychiatry,Schizophrenia Spectrum and Other Psychotic Disorders
c337bf74-49d1-4b5d-9838-04319f80bd54,A lady used to repeatedly wash her hands due to the fear of acquiring AIDS is due to,OCD,Mania,Depression,Anxiety,0,single,"(A) OCD # Obsessive-compulsive disorder (OCD) is a psychiatric anxiety disorder most commonly characterized by a subject's obsessive, distressing, intrusive thoughts and related compulsions (tasks or ""rituals"") which attempt to neutralize the obsessions.# Obsessions are defined by:> Recurrent and persistent thoughts, impulses, or images that are experienced at some time during the disturbance, as intrusive and inappropriate and that cause marked anxiety or distress.> Thoughts, impulses, or images are not simply excessive worries about real-life problems.> Person attempts to ignore or suppress such thoughts, impulses, or images, or to neutralize them with some other thought or action.> Person recognizes that the obsessional thoughts, impulses, or images are a product of his or her own mind, and are not based in reality.> Tendency to haggle over small details that the viewer is unable to fix or change in any way. This begins a mental pre-occupation with that which is inevitable.# Compulsions are defined by:> Repetitive behaviors or mental acts that the person feels driven to perform in response to an obsession, or according to rules that must be applied rigidly.> The behaviors or mental acts are aimed at preventing or reducing distress or preventing some dreaded event or situation; however, these behaviors or mental acts either are not connected in a realistic way with what they are designed to neutralize or prevent or are clearly excessive.",Psychiatry,Miscellaneous
df2c9db2-b2d9-4f10-be2b-07493135d300,Which of the following describes Satyriasis?,Decreased sexual drive in male,Increased sexual drive in male,Decreased sexual drive in female,Increased sexual drive in female,1,single,Ans. B. Increased sexual drive in male* Nymphomaniac: excessive sexual desire in females.* Satyriasis: excessive sexual desire in males,Psychiatry,Sexual Disorders
cac9e035-d246-4b9a-b436-a00b490cdb4b,Bleuler's symptoms for schizophrenia are all except,Loosening of association,Affect disturbances,Autism,Hallucinations,3,multi,"Eugen Bleuler's Fundamental Symptoms of Schizophrenia (Also called as 4 A's of Bleuler) 1. Ambivalence: Marked inability to decide for or against 2. Autism: Withdrawal into self 3. Affect disturbances: Disturbances of affect such as inappropriate affect 4. Association disturbances: Loosening of associations; thought disorder Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no. 55",Psychiatry,Schizophrenia and other psychotic disorders
90f75de3-670d-4edd-bfc6-5d2f0aaf04a8,Hypnagogic hallucinations are seen in,Depression,Mania,Narcolepsy,Schizophrenia,2,multi,"NarcolepsyThe classic tetrad of symptoms is:i. Sleep attacks (most common): ii. Cataplexy: iii. Hypnagogic hallucinations: iv. Sleep paralysis (least common): Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no. 138",Psychiatry,Sleep disorders and eating disorders
f8ba7301-121a-479d-9340-514301b354d5,"A 40 year old female reports of sudden bouts of anxiety which would occur anytime and associated with sweating, palpitation, derealization, and feeling of going crazy. These episodes would last for 20 -25 minutes. So much so that she fears of having these episodes in future. All routine investigations are normal. What is the diagnosis?",Generalized anxiety disorder,Obsessive-compulsive disorder,Panic disorder,Tourette's syndrome,2,multi,"Ans. C. Panic disorderPanic attack: acute intense attack of anxiety accompanied by feelings of impending doom.Symptoms during panic attack usually involve* Sudden onset of palpitations, Sweating, Trembling or shaking,* Shortness of breath, Feelings of choking, Chest pain,* Nausea/abdominal distress, Feeling dizzy, unsteady,* Chills or heat sensations,* Paresthesias, derealization or depersonalization.* Fear of losing control or ""going crazy or fear of dying.Recurrent panic attacks is Panic disorder",Psychiatry,Anxiety & Stress
d310a055-355a-4997-9b9b-9d2f6bb7ce6d,In which condition doctor is passive,Classical psychoanalysis,Psychoanalytic psychoanalysis,Both,None,0,multi,"Classical Psychoanalysis No detailed history taking, mental status examination, or formalised psychiatric diagnosis is attempted. The patient is allowed to communicate unguided, by using 'free association'. The therapist remains passive with a non-directive approach; however, the therapist constantly challenges the existing defences and interprets resistance (during the therapy) and transference (patient's feelings, behaviours and relationship with the therapist). No direct advice is ever given to the patient. The crux of the therapy is on interpretation. During the therapy, the patient typically lies on the couch, with the therapist sitting just out of vision. Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no. 213",Psychiatry,Treatment in psychiatry
5d356a71-c7a1-4f0b-ad57-bd55ac2d5c1b,Which of the following indications of deep brain stimulation is not FDA approved?,OCD,Major depression,Parkinsonism,Dystonia,1,single,FDA approved indications for deep brain stimulation are: a. Parkinson's disease and essential tremors b. Dystonia c. Obsessive compulsive disorder,Psychiatry,Mood Disorders
22a01327-5bbe-4144-95ef-e02cfd0db63f,The major difference between typical and atypical antipsychotics is that,The latter cause minimal or no increase in prolactin,The former cause tardive dyskinesia,The former are available as parenteral preparations,The latter cause substantial sedation,1,single,"The most impoant reason to classify the antipsychotics in typical and atypical agents is the occurrence of extrapyramidal symptoms. Typical antipsychotics have significant extrapyramidal symptoms such as parkinsonism, acute muscle dystonia and tardive dyskinesia. These side-effects are negligible or minimal with atypical agents like clozapine, olanzapine and risperidone.",Psychiatry,Schizophrenia Spectrum and Other Psychotic Disorders
bde66087-8329-4e46-b7ee-e8756bae2d88,Which of the following is associated with Madonna-Putana complex ?,Female arousal disorder,Male hypoactive sexual desire disorder,Male erectile disorder,Anorgasmia,2,single,"Madonna-Putana complex Psychogenic male erectile disorder Can be organic or psychologic or both. Inability to have arousal towards a woman , the man desires. Men have arousal only with women whom they see as degraded.",Psychiatry,Sexual Disorders
a8d54e61-b164-450b-a2b8-6644ca290abc,Beta blockers are indicated in -,Phobic disorders,Anxiety,Schizophrenia,Mania,1,single,Ans. is 'b' Anxiety Antianxiety Drugs areBenzodiazepinesB BlockersBuspironeMeprobamate & Hydroxyzine,Psychiatry,Generalized Anxiety Disorder
e57a329a-1aa2-4b8b-96f6-587f69390031,which of the following antidepressent causes hypeensive crisis,dapoxetine,duloxetine,clomipramine,phenelezine,3,single,"MAOI * IMPOANCE First class of antidepressant drugs that were introduced * MECHANISM There are three monoamines namely dopamine, adrenaline and serotonin. These mon amines are degraded by monoamine oxidase. MAOI inhibit this enzyme and acts increasing monoamines * DRUGS Phenelezine Tranylcipromine * USE ATYPICAL DEPRESSION, depression with reverse vegetative symptoms * SIDE EFFECTS Hypeensive crisis Cheese reaction When a patient on MAOI takes tyramine rich food like tyramine there will be increased release of monoamines. These excess monoamines cannot be degraded by MAO as it is blocked by MAOI. Thus, this may result in hypeensive crisis. Paresthesia's due to pyridoxine deficiency LIKE IPRONIAZID WEIGHT gain SEXUAL dysfunction Ref. Kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no, 955",Psychiatry,Pharmacotherapy in psychiatry
f8e76c48-5538-40dc-b5aa-9e7b5e780565,Incestuous relationship between mother and son is called as?,Oedipus complex,Electra complex,Family incest,None,0,multi,"Ans. is 'a' i.e., Oedipus complex * In psychoanalysis, the Oedipus complex is a child's desire, that the mind keeps in the unconscious via dynamic repression, to have sexual relations with the parent of the opposite sex (i.e. males attracted to their mothers, and females attracted to their fathers)* The Oedipus complex occurs in the third -- phallic stage (ages 3-6) of the psychosexual development.* Sigmund Freud coined the term ""Oedipus complex""* Boys and girls experience the complex differently: boys in a form of castration anxiety & girls in a form of penis envy (Electra complex).",Psychiatry,Sexual Disorders
ddb2fe1c-105e-4ccf-a740-fe383571d102,"A 30 year old male was brought for evaluation. The history revealed that the patients 3 year old son died, 5 months back after being hit by a car. At the time of accident, patient was standing nearby and witnessed the accident. For last 5 months, he has been having symptoms of sadness of mood, crying spells, feelings of wohlessness, poor sleep and poor appetite. He has twice thought of killing himself but stopped at the end moment. He has not been attending the office of last 5 months. What is the likely diagnosis:",Post traumatic stress disorder,Normal grief,Major depression,Adjustment disorder,2,single,"Depression: A major depressive disorder occurs without a history of a manic, mixed, or hypomanic episode. A major depressive episode must last at least 2 weeks DIAGNOSIS: Major Depressive Disorder The DSM-5 diagnostic criteria for major depression Sadness of mood Diminished interest in pleasure Significant weight loss or gain more than 5% in a month Crying spells Feeling of wohlessness Poor sleep (Insomnia or hypersomnia) Suicidal thoughts Psychomotor retardation Fatigue or loss of energy. Five or more of these symptoms present for 2 weeks or more or either depressed mood or loss of interest or pleasure.",Psychiatry,Schizophrenia Spectrum and Other Psychotic Disorders
60c1bc25-7c92-4508-824b-05c52f3fc569,Psychosurgery is used in,Phobia,Generalized anxiety,OCD,Depression,2,single,"Psychosurgery can be used in the treatment of OCD that has become intractable and is not responding to other methods of treatment. The best responders are usually those who have significantly associated depression, although pure obsessives also respond. The main benefit is the marked reduction in associated distress and severe anxiety. (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition, pg no.98)",Psychiatry,Treatment in psychiatry
dd3ef3e0-c495-47a8-ad60-78ff4007aca1,Morbid jealousy is associated with which addiction?,Alcohol,Heroin,LSD,Charas,0,single,"Ans. is 'a' i.e., Alcohol Morbid jealousy (Pathological jealousy)* Also referred to as delusional jealously, obsessive jealousy and Othello syndrome. This condition occurs when a person feels an unreasonable fear that a partner has been unfaithful, is presently unfaithful, or plans to be unfaithful.* Morbid jealousy can occur in alcoholism, Schizophrenia, manic phase of bipolar illness, OCD, depression, or anxiety disorder.Also knowAlcoholic paranoia falcohal induced psychotic disorder with delusions)* Alcoholic parania refers to alcohol induced psychotic disorder with delusions. Delusions in alcoholic paranoia are fixed, ie. Alcoholic paranoia is associated with fixed delusions. Patients develop delusion of either persecution or jealousy, accompanied by delusion of reference. Auditary hallucinations may occur but play a minor role.",Psychiatry,Substance Abuse
01c89b56-ee99-4991-8fa3-5b4ec90acde9,How many items are there in Mini mental state examination (MMSE)?,10,15,20,30,3,single,"Ans.D.30ExplanationMMSE or Folstein test is a simplified form of routine cognitive status examination. It is routinely used to track improvement and deterioration. It includes following points:Orientation to time-5Orientation to place-5Registration-3Attention and calculation-5Recall-3Language-2Repetition-1Complex commands-6Total score-30, score less than 24 indicates cognitive impairment.",Psychiatry,Organic Mental Disorder
0a5e5d05-5d36-4eca-a464-cec53a160ea0,Term psychoanalysis was coined by?,Eysenck,Freud,Jung,Adler,1,single,"Ans. is 'b' i.e., Freud * The credit for invention of psychoanalysis belong to Sigmund FreudImportant contributors in psychiatryTermCoined by* Demence precoce* Moral Emil* Dementia precox* Kraepelin* Catatonia, cyclotymia* Kahlbaum* Hebephrenia* Hecker* Schizophrenia* Eugen Bleuler* Ambivalence* Eugen Bleuler* Free association* Sigmund Freud* Psychoanalysis, Psychodynamics* Sigmunnd Freud* Id, ego, Superego* Sigmund Freud* Psychiatry* Johann christion Reil",Psychiatry,Psychoanalysis
eeca5687-f52a-4e61-a4e5-1f7905bb64ee,Biological Methods of Treatments in Psychiatry include all except,Electroconvulsive therapy,Sub-convulsive ECT,Psychosurgery,Aversion therapy,3,multi,(D) Aversion therapy # Biological Methods of Treatments in Psychiatry include:> Older methods (no longer used in clinical practice): Malarial treatment for general paralysis of insane Insulin coma therapy Atropine coma therapy Continuous sleep treatment Sub-convulsive ECT Chemical convulsive therapy Sleep deprivation Mega vitamin therapy; Hallucinogens> Presently Used Biological Methods: Electroconvulsive therapy; Psychosurgery# Psychological Treatments (Psychosocial therapies): Psychoanalysis Psychoanalytical Psychotherapy -- Aversion therapy Transactional analysis Others: Hypnosis; Group therapy; Cognitive therapy; Behaviorism; Classical conditioning; Operant conditioning; Dual sex therapy; Psychodrama; Primal therapy; Rational emotive therapy; Primal therapy; will therapy; Gestalt therapy; Existenlial logotherapy; Reciprocal inhibition; Progressive muscular relaxation; Character analysis; Token economy.,Psychiatry,Miscellaneous
521a4f9a-8d34-451e-8a69-bfe658d8a789,Sigmund Freud gave various defense mechanisms. Which of the following is not a mature defense mechanism?,Humor,Projection,Asceticism,Altruism,1,single,Ans. B. ProjectionAll of the others are mature defenses. Anticipation is goal directed and involves realistic anticipation or planning for future inner discomfort. Suppression involves the conscious postponement of attention to a conscious impulse or conflict. Altruism uses constructive and instinctually satisfying service to others to undergo a vicarious experience. Asceticism involves the assignment of value to specific pleasure and is directed against all base pleasures.,Psychiatry,Cognitive Development
